Freq(GHz)	GainS12Path	GainS13Path	GainS14Path
4.881	0.9673415472	0.0008768699	0.0009451886
4.88131746	0.9674316451	0.00087654	0.0009445155
4.881634921	0.9674790005	0.0008764825	0.0009450584
4.881952381	0.9675237396	0.0008765098	0.0009459642
4.882269841	0.9675833054	0.0008765422	0.0009468776
4.882587302	0.9672809709	0.0008768962	0.0009463217
4.882904762	0.9667653302	0.000877446	0.0009448825
4.883222222	0.9662651665	0.0008779992	0.0009434576
4.883539683	0.9661769121	0.0008780239	0.0009431546
4.883857143	0.9665452906	0.0008774601	0.0009441006
4.884174603	0.9669276486	0.0008769021	0.0009450599
4.884492063	0.9671912621	0.0008768491	0.0009458979
4.884809524	0.9671923407	0.0008778463	0.0009464632
4.885126984	0.967209783	0.0008788466	0.0009470353
4.885444444	0.9671256272	0.0008798322	0.0009476237
4.885761905	0.9664954225	0.0008807424	0.0009482729
4.886079365	0.9658809583	0.0008816653	0.0009489454
4.886396825	0.9653077718	0.0008825441	0.0009495823
4.886714286	0.9657944559	0.0008810999	0.0009478264
4.887031746	0.9662954054	0.0008796593	0.0009460722
4.887349206	0.9668106303	0.0008782223	0.0009443199
4.887666667	0.9669590625	0.0008788121	0.00094433
4.887984127	0.9670683958	0.0008796944	0.000944609
4.888301587	0.9671935319	0.0008805782	0.0009449047
4.888619048	0.9671777744	0.0008806724	0.0009451645
4.888936508	0.967118552	0.0008804714	0.000945416
4.889253968	0.9670754461	0.0008802763	0.0009456782
4.889571429	0.9672567914	0.0008795003	0.0009457362
4.889888889	0.9676073746	0.0008782965	0.0009456433
4.890206349	0.9679730139	0.0008770987	0.0009455577
4.89052381	0.968362109	0.0008767195	0.000945477
4.89084127	0.9687770721	0.0008774447	0.0009454038
4.89115873	0.9692063481	0.0008781776	0.0009453428
4.89147619	0.9692816735	0.0008787875	0.0009447274
4.891793651	0.9684072311	0.0008790581	0.000942636
4.892111111	0.9675514116	0.0008793312	0.0009405555
4.892428571	0.9668072125	0.0008796921	0.0009392117
4.892746032	0.9667215745	0.0008806467	0.0009429099
4.893063492	0.9666476554	0.0008816023	0.0009466311
4.893380952	0.9665854587	0.0008825589	0.0009503753
4.893698413	0.9668188384	0.000880278	0.0009502022
