Frequency (GHz),Calculated SMAm-SMAm
4.881,-0.0173047969
4.88131746,-0.0164521618
4.881634921,-0.0155990887
4.881952381,-0.0147455773
4.882269841,-0.0151354531
4.882587302,-0.0157434232
4.882904762,-0.0163499122
4.883222222,-0.0179658735
4.883539683,-0.0200141516
4.883857143,-0.0220615752
4.884174603,-0.0219674244
4.884492063,-0.0201212251
4.884809524,-0.0182745632
4.885126984,-0.0183872712
4.885444444,-0.0214384033
4.885761905,-0.0244878426
4.886079365,-0.0263161536
4.886396825,-0.0244845251
4.886714286,-0.0226513017
4.887031746,-0.0208981339
4.887349206,-0.0198788588
4.887666667,-0.0188591235
4.887984127,-0.0178389284
4.888301587,-0.0186673476
4.888619048,-0.01959223
4.888936508,-0.0205162456
4.889253968,-0.0207767637
4.889571429,-0.0208709906
4.889888889,-0.0209646097
4.890206349,-0.0206437701
4.89052381,-0.0200997079
4.89084127,-0.0195553144
4.89115873,-0.0203655922
4.89147619,-0.0225298895
4.891793651,-0.0246929875
4.892111111,-0.0253526119
4.892428571,-0.0232213962
4.892746032,-0.0210894237
4.893063492,-0.0192651031
4.893380952,-0.0186735724
4.893698413,-0.0180811331
4.894015873,-0.0175867702
4.894333333,-0.0189723822
4.894650794,-0.0203574208
4.894968254,-0.0217418865
4.895285714,-0.0218493526
4.895603175,-0.0218150134
4.895920635,-0.0217807251
4.896238095,-0.0207147927
4.896555556,-0.0193052403
4.896873016,-0.0178959992
4.897190476,-0.0181181802
4.897507937,-0.0194272057
4.897825397,-0.0207354507
4.898142857,-0.0219464771
4.898460317,-0.0230388679
4.898777778,-0.0241304986
4.899095238,-0.0243976662
4.899412698,-0.0227410117
4.899730159,-0.0210819214
4.900047619,-0.0192587031
4.900365079,-0.0165182565
4.90068254,-0.0137778753
4.901,-0.0110375601
4.90131746,-0.0135700639
4.901634921,-0.0161009327
4.901952381,-0.0186301671
4.902269841,-0.0206823879
4.902587302,-0.0226495358
4.902904762,-0.0246155389
4.903222222,-0.0244093363
4.903539683,-0.0232735834
4.903857143,-0.0221390976
4.904174603,-0.0208548221
4.904492063,-0.0194473711
4.904809524,-0.0180400904
4.905126984,-0.0174464911
4.905444444,-0.0180730171
4.905761905,-0.0186992681
4.906079365,-0.0188408422
4.906396825,-0.0175285478
4.906714286,-0.0162153571
4.907031746,-0.0150927634
4.907349206,-0.015692178
4.907666667,-0.0162897106
4.907984127,-0.0168853624
4.908301587,-0.0190823302
4.908619048,-0.0213634563
4.908936508,-0.0236444045
4.909253968,-0.0243403833
4.909571429,-0.0246394497
4.909888889,-0.0249377425
4.910206349,-0.0244993489
4.91052381,-0.0236643545
4.91084127,-0.0228291137
4.91115873,-0.0223296733
4.91147619,-0.0221667218
4.911793651,-0.0220044432
4.912111111,-0.0217743077
4.912428571,-0.0214168345
4.912746032,-0.0210589375
4.913063492,-0.0205008465
4.913380952,-0.0191431804
4.913698413,-0.0177849742
4.914015873,-0.0166434641
4.914333333,-0.0196287959
4.914650794,-0.0226134146
4.914968254,-0.0255973205
4.915285714,-0.0250983595
4.915603175,-0.024211548
4.915920635,-0.0233237793
4.916238095,-0.0231843953
4.916555556,-0.0232943605
4.916873016,-0.0234039699
4.917190476,-0.0232455706
4.917507937,-0.0229083706
4.917825397,-0.022570802
4.918142857,-0.0223924873
4.918460317,-0.022408498
4.918777778,-0.0224235883
4.919095238,-0.0222652681
4.919412698,-0.0217035718
4.919730159,-0.0211409906
4.920047619,-0.020729656
4.920365079,-0.0211797698
4.92068254,-0.0216294377
4.921,-0.0220786595
4.92131746,-0.0219009004
4.921634921,-0.0217225972
4.921952381,-0.0215437494
4.922269841,-0.0200819158
4.922587302,-0.0183923099
4.922904762,-0.0167011697
4.923222222,-0.0163930332
4.923539683,-0.0166773392
4.923857143,-0.0169608214
4.924174603,-0.0170480163
4.924492063,-0.0169747531
4.924809524,-0.016901041
4.925126984,-0.0161478715
4.925444444,-0.0143756643
4.925761905,-0.0126028993
4.926079365,-0.0119179615
4.926396825,-0.0144970149
4.926714286,-0.0170745436
4.927031746,-0.019319718
4.927349206,-0.0185865035
4.927666667,-0.0178528656
4.927984127,-0.0171188035
4.928301587,-0.018122611
4.928619048,-0.0192173252
4.928936508,-0.0203114536
4.929253968,-0.0194177522
4.929571429,-0.0180262334
4.929888889,-0.0166336607
4.930206349,-0.0170664933
4.93052381,-0.0184816951
4.93084127,-0.0198957764
4.93115873,-0.0187265528
4.93147619,-0.0149734112
4.931793651,-0.0112183305
4.932111111,-0.0103530932
4.932428571,-0.0148559871
4.932746032,-0.0193563719
4.933063492,-0.0226391056
4.933380952,-0.021059726
4.933698413,-0.0194794525
4.934015873,-0.0179879102
4.934333333,-0.0181987866
4.934650794,-0.0184096179
4.934968254,-0.0186204041
4.935285714,-0.0185970383
4.935603175,-0.0185463634
4.935920635,-0.0184943249
4.936238095,-0.0197364147
4.936555556,-0.0214099746
4.936873016,-0.0230833173
4.937190476,-0.0228594312
4.937507937,-0.0213701173
4.937825397,-0.0198799162
4.938142857,-0.0188068192
4.938460317,-0.0182442905
4.938777778,-0.0176816713
4.939095238,-0.0171732781
4.939412698,-0.0167910905
4.939730159,-0.0164081314
4.940047619,-0.0163229591
4.940365079,-0.0179286967
4.94068254,-0.0195334042
4.941,-0.0211370826
4.94131746,-0.0211730322
4.941634921,-0.0212091293
4.941952381,-0.0212453738
4.942269841,-0.0203617032
4.942587302,-0.0193143501
4.942904762,-0.0182655598
4.943222222,-0.0179446773
4.943539683,-0.0179350306
4.943857143,-0.017924061
4.944174603,-0.0188488986
4.944492063,-0.0205399395
4.944809524,-0.0222306688
4.945126984,-0.0231003144
4.945444444,-0.0227376134
4.945761905,-0.0223733483
4.946079365,-0.0225848656
4.946396825,-0.024527639
4.946714286,-0.0264700978
4.947031746,-0.0279859082
4.947349206,-0.0256640854
4.947666667,-0.0233413753
4.947984127,-0.0210177776
4.948301587,-0.0208992981
4.948619048,-0.0208959154
4.948936508,-0.0208915218
4.949253968,-0.0210019648
4.949571429,-0.0211415102
4.949888889,-0.0212813243
4.950206349,-0.0216439968
4.95052381,-0.0221262107
4.95084127,-0.022607985
4.95115873,-0.0228242683
4.95147619,-0.0227745438
4.951793651,-0.0227236911
4.952111111,-0.0218024601
4.952428571,-0.0192656422
4.952746032,-0.0167274946
4.953063492,-0.014951549
4.953380952,-0.0162285995
4.953698413,-0.0175046469
4.954015873,-0.018856863
4.954333333,-0.0216748145
4.954650794,-0.0244927074
4.954968254,-0.0273105408
4.955285714,-0.0270361262
4.955603175,-0.0264169868
4.955920635,-0.0257966413
4.956238095,-0.0238092679
4.956555556,-0.0213653171
4.956873016,-0.018920047
4.957190476,-0.0180421991
4.957507937,-0.0182097147
4.957825397,-0.0183769793
4.958142857,-0.0196133883
4.958460317,-0.0221549407
4.958777778,-0.0246939757
4.959095238,-0.0259898264
4.959412698,-0.0243897278
4.959730159,-0.0227893591
4.960047619,-0.021129233
4.960365079,-0.019131054
4.96068254,-0.0171314073
4.961,-0.0151302915
4.96131746,-0.0173961589
4.961634921,-0.019660659
4.961952381,-0.0219237921
4.962269841,-0.0213151758
4.962587302,-0.0202000967
4.962904762,-0.0190852103
4.963222222,-0.0184335527
4.963539683,-0.0179801365
4.963857143,-0.017526448
4.964174603,-0.0162150897
4.964492063,-0.014199889
4.964809524,-0.012181753
4.965126984,-0.012175074
4.965444444,-0.0151888658
4.965761905,-0.0182023173
4.966079365,-0.02066485
4.966396825,-0.0214752823
4.966714286,-0.022285336
4.967031746,-0.0228151591
4.967349206,-0.0208252477
4.967666667,-0.0188337193
4.967984127,-0.0168405713
4.968301587,-0.0189280231
4.968619048,-0.0212291678
4.968936508,-0.0235291648
4.969253968,-0.0221878821
4.969571429,-0.0199357262
4.969888889,-0.017682764
4.970206349,-0.0175953855
4.97052381,-0.0186742741
4.97084127,-0.0197530299
4.97115873,-0.0197833402
4.97147619,-0.0187648166
4.971793651,-0.0177456428
4.972111111,-0.0181965016
4.972428571,-0.0213784837
4.972746032,-0.0245605654
4.973063492,-0.0264384005
